Ch1 Amplitude,Ch2 Amplitude,Cluster
3166.457,2660.12329,1
3166.52759,2821.15259,1
3166.685,2764.85229,1
3166.85864,2770.88647,1
3166.94141,2904.24585,1
3167.18774,2767.599,1
3167.18921,2857.027,1
3167.268,2638.00854,1
3167.29346,2730.4563,1
3167.76733,2621.303,1
3167.77051,2741.44434,1
3167.812,2719.60083,1
3167.9668,2619.148,1
3168.02173,2738.91626,1
3168.08643,2709.85767,1
3168.3103,2676.08545,1
3168.33423,2720.90259,1
3168.704,2672.78442,1
3168.73462,2709.20313,1
3168.74023,2688.11035,1
3168.90137,2646.679,1
3169.106,2727.04321,1
3169.34253,2582.35254,1
3169.5332,2862.06519,1
3169.68286,2846.12256,1
3169.91748,2589.93262,1
3169.938,2749.795,1
3169.95483,2624.774,1
3169.99634,2614.05273,1
3170.152,2789.36719,1
3170.41943,2709.48877,1
3170.769,2791.99268,1
3170.95483,2750.40723,1
3171.13452,2717.87,1
3171.179,2820.34448,1
3171.20923,2655.524,1
3171.22949,2754.57153,1
3171.38062,2803.64746,1
3171.49341,2731.85425,1
3171.63965,2844.99023,1
3171.67114,2691.26782,1
3171.74463,2843.06934,1
3172.077,2619.1936,1
3172.07837,2635.53979,1
3172.23877,2768.2085,1
3172.263,2847.90747,1
3172.349,2645.20654,1
3172.36816,2749.28345,1
3172.52051,2774.02124,1
3172.732,2769.738,1
3172.79248,2656.15356,1
3173.10132,2820.33521,1
3173.12573,2647.62231,1
3173.188,2681.168,1
3173.3186,2738.834,1
3173.48,2696.1084,1
3173.792,2844.56982,1
3173.888,2554.96875,1
3174.02246,2697.207,1
3174.33179,2643.23779,1
3174.60571,2778.28638,1
3174.63379,2590.0813,1
3174.648,2727.325,1
3174.73047,2773.71484,1
3174.89038,2625.29443,1
3175.07568,2835.19531,1
3175.09,2749.243,1
3175.09717,2891.3894,1
3175.50439,2815.23486,1
3175.64331,2568.11841,1
3175.75415,2672.008,1
3175.75439,2645.9502,1
3175.77271,2946.22241,1
3175.77954,2751.32617,1
3175.81372,2794.09766,1
3176.01831,2635.32886,1
3176.11353,2767.69824,1
3176.141,2787.41187,1
3176.14673,2580.53223,1
3176.203,2712.96582,1
3176.22559,2603.05225,1
3176.274,2641.94556,1
3176.30176,2760.69482,1
3176.50342,2750.87817,1
3176.56348,2877.703,1
3176.66431,2659.01733,1
3176.68677,2525.81665,1
3176.704,2744.8877,1
3176.817,2704.84668,1
3176.94556,2690.30029,1
3177.058,2726.53247,1
3178.0188,2738.96143,1
3178.06641,2722.61,1
3178.097,2685.867,1
3178.14136,2832.57813,1
3178.33057,2641.05444,1
3178.39,2669.685,1
3178.41528,3047.69385,1
3178.733,2695.58472,1
3178.743,2692.285,1
3178.799,2742.01953,1
3179.054,2830.42578,1
3179.06543,2781.32349,1
3179.098,2695.75342,1
3179.133,2775.04077,1
3179.481,2695.40454,1
3179.691,2667.50122,1
3179.79,2764.86841,1
3179.829,2863.2666,1
3179.83,2708.653,1
3179.94922,2752.57861,1
3180.133,2709.78784,1
3180.60449,2702.66919,1
3180.61816,2768.666,1
3180.77563,2609.45068,1
3180.801,2710.63916,1
3180.8855,2720.21582,1
3180.91626,2686.14038,1
3181.02686,2669.29956,1
3181.10742,2601.255,1
3181.17261,2765.17847,1
3181.33765,2681.95215,1
3181.421,2834.472,1
3181.69336,2841.98218,1
3181.715,2772.774,1
3181.87915,2626.381,1
3182.01978,2611.81714,1
3182.179,2733.16919,1
3182.48535,2784.44263,1
3182.62,2734.148,1
3182.68066,2755.67456,1
3183.00024,2765.131,1
3183.00684,2758.68872,1
3183.07251,2722.18579,1
3183.23145,2856.3313,1
3183.31055,2680.049,1
3183.354,2701.127,1
3183.51758,2718.608,1
3183.63965,2759.99463,1
3183.64429,2661.49268,1
3183.78516,2748.416,1
3183.84717,2739.366,1
3183.86,2663.71924,1
3183.99365,2833.33716,1
3184.02612,2925.89282,1
3184.06226,2471.40137,1
3184.067,2819.2605,1
3184.07764,2678.04736,1
3184.097,2811.28174,1
3184.21118,2579.559,1
3184.59619,2901.539,1
3184.746,2593.78979,1
3184.774,2774.45728,1
3184.79639,2807.727,1
3184.84961,2867.52148,1
3184.89722,2730.52612,1
3184.93579,2641.36157,1
3184.952,2640.64,1
3184.9812,2711.40039,1
3185.1333,2599.50171,1
3185.153,2703.25977,1
3185.17,2693.416,1
3185.25342,2817.094,1
3185.303,2884.96973,1
3185.467,2836.7,1
3185.502,2587.66284,1
3185.71436,2624.06763,1
3185.823,2871.10034,1
3185.873,2700.6084,1
3186.00415,2821.90552,1
3186.603,2781.28564,1
3186.60449,2857.436,1
3186.69019,2835.87915,1
3186.697,2702.53467,1
3186.81616,2706.03174,1
3186.82715,5842.278,4
3186.82983,2792.3938,1
3186.84155,2765.37671,1
3186.89917,2864.946,1
3186.98413,2744.82422,1
3186.98755,2610.77466,1
3187.07227,2519.55762,1
3187.25977,2765.83618,1
3187.28345,2680.49243,1
3187.30469,2743.13232,1
3188.05542,2800.45459,1
3188.07056,2763.95142,1
3188.09277,2577.766,1
3188.232,5791.9917,4
3188.41113,2706.608,1
3188.4624,2662.266,1
3188.59717,2806.03564,1
3188.64063,2991.32642,1
3188.64941,2655.69141,1
3188.69263,2773.47485,1
3188.778,2598.6543,1
3188.95557,2778.412,1
3189.07666,2649.806,1
3189.216,2661.20776,1
3189.38,2605.34717,1
3189.69,2709.18872,1
3189.85962,2627.691,1
3189.99878,2710.23975,1
3190.16919,2619.567,1
3190.28027,2761.21948,1
3190.41675,2626.52979,1
3190.461,2710.31641,1
3190.473,2582.80347,1
3190.50952,2695.358,1
3190.63232,2592.90161,1
3190.76587,2809.7583,1
3190.891,2566.07129,1
3191.071,2635.06543,1
3191.16138,2747.12646,1
3191.31665,2800.69824,1
3191.429,2744.86572,1
3191.6377,2708.17114,1
3191.65234,2819.738,1
3191.832,2759.858,1
3191.98926,2737.945,1
3192.04565,2621.19482,1
3192.111,2605.00146,1
3192.19116,2699.56836,1
3192.23853,2714.98975,1
3192.40063,2737.98486,1
3192.62061,2564.51074,1
3192.66235,2636.61572,1
3192.76123,2660.28735,1
3192.87256,2744.972,1
3192.94238,2753.381,1
3193.077,2664.825,1
3193.29248,2735.092,1
3193.335,2655.14917,1
3193.42163,2764.674,1
3193.44238,2834.14819,1
3193.46069,2432.96362,1
3193.6377,2649.33813,1
3193.721,2807.36255,1
3193.76685,2675.97363,1
3193.82544,2632.64746,1
3193.85669,2772.5022,1
3193.907,2885.23022,1
3193.90869,2724.499,1
3193.92017,2805.19946,1
3194.0686,2754.952,1
3194.189,2755.53882,1
3194.224,2755.937,1
3194.28223,2710.958,1
3194.35278,2605.66724,1
3194.45117,2825.0813,1
3194.46362,2776.40161,1
3194.7522,2777.89453,1
3194.856,2804.97266,1
3194.915,2735.39673,1
3195.25439,2655.74585,1
3195.569,2745.7583,1
3195.615,2748.236,1
3195.643,2743.00562,1
3195.68,2615.81152,1
3195.73975,2788.02417,1
3196.083,2564.27856,1
3196.09668,2739.05859,1
3196.17285,2676.40723,1
3196.35376,2792.15381,1
3196.367,2677.35034,1
3196.626,2730.09888,1
3196.63379,2466.624,1
3196.729,2621.36914,1
3196.85718,2585.13184,1
3196.898,2770.24,1
3196.90356,2694.74536,1
3197.21753,2800.2854,1
3197.303,2708.77661,1
3197.43872,2751.95972,1
3197.4458,2711.43872,1
3197.566,2774.81,1
3197.59644,2790.60718,1
3197.67432,2779.76123,1
3197.83423,2749.14185,1
3197.87622,2705.05835,1
3198.055,2694.29932,1
3198.20044,2755.81,1
3198.21558,2748.45068,1
3198.27222,2726.545,1
3198.34961,2731.0293,1
3198.406,2746.29541,1
3198.50366,2792.55273,1
3198.66626,2858.75073,1
