Ch1 Amplitude,Ch2 Amplitude,Cluster
3197.33423,2555.25,1
3197.47729,2588.83618,1
3197.6394,2611.45142,1
3197.76514,2581.93384,1
3198.07471,2599.24585,1
3198.08325,2665.04346,1
3198.15186,2416.70239,1
3198.26978,2703.59155,1
3198.312,2642.864,1
3198.375,2443.69,1
3198.49365,2462.98584,1
3198.757,2714.35229,1
3198.81128,2583.16724,1
3198.911,2594.49,1
3198.984,2517.77686,1
3199.0603,2628.16943,1
3199.116,2748.327,1
3199.14063,2667.55859,1
3199.21948,2578.79785,1
3199.27222,2690.20532,1
3199.288,2724.85474,1
3199.652,2674.323,1
3199.923,2459.365,1
3199.9917,2713.90747,1
3199.99243,2539.44336,1
3200.26831,2560.16357,1
3200.375,2558.894,1
3200.82959,2501.26343,1
3200.93384,2494.03516,1
3200.97217,2708.08887,1
3201.09644,2610.28149,1
3201.33984,2554.03125,1
3201.3877,2787.50146,1
3201.44214,2790.08765,1
3201.49658,2641.47827,1
3201.54346,2601.445,1
3201.60962,2787.57959,1
3201.72949,2609.02466,1
3201.758,2725.55884,1
3201.911,2566.00854,1
3202.347,2390.26416,1
3202.37646,2520.37622,1
3202.58447,2478.425,1
3202.62134,2690.7168,1
3202.759,2489.79468,1
3202.87817,2518.01367,1
3202.8938,2490.26587,1
3202.949,2727.72,1
3203.40234,2447.74561,1
3203.65454,2499.54468,1
3203.69629,2685.19775,1
3203.88354,2740.74756,1
3203.95752,2688.246,1
3204.07935,2596.62,1
3204.15625,2653.587,1
3204.33936,2489.81567,1
3204.389,2678.47925,1
3204.39819,2687.77661,1
3204.72534,2540.15918,1
3204.95581,2648.65161,1
3205.31,2690.48633,1
3205.398,2567.57349,1
3205.41113,2561.69336,1
3205.45142,2637.93945,1
3205.78687,2549.49146,1
3205.81665,2679.18872,1
3205.93579,2646.44653,1
3205.98071,2628.709,1
3206.05737,2506.92236,1
3206.09424,2564.47534,1
3206.11963,2529.84961,1
3206.28345,2491.18555,1
3206.37842,2441.37329,1
3206.67334,2582.56177,1
3206.81519,2540.42,1
3207.275,2621.57568,1
3207.29614,2534.203,1
3207.36084,2620.94458,1
3207.81738,2584.66772,1
3207.82471,2560.89819,1
3207.83765,2664.8894,1
3207.85156,2679.16333,1
3207.94629,2734.49878,1
3207.96631,2594.76318,1
3207.996,2573.38184,1
3208.00464,2679.33,1
3208.02734,2502.77515,1
3208.069,2727.23438,1
3208.23071,2548.919,1
3208.28931,2785.46313,1
3208.54785,2705.88232,1
3208.60449,2708.7063,1
3208.91162,2709.59985,1
3209.06543,2502.26929,1
3209.131,2686.52759,1
3209.27563,2590.60815,1
3209.476,2468.689,1
3209.50854,2613.2644,1
3209.64673,2529.72925,1
3209.84766,2522.81128,1
3209.89575,2363.304,1
3209.94922,2710.10449,1
3209.989,2738.18945,1
3210.06885,2724.36182,1
3210.1145,2563.807,1
3210.121,2635.12671,1
3210.19287,2582.70923,1
3210.45215,2726.559,1
3210.48267,2651.29785,1
3210.93774,2777.43579,1
3210.97363,2627.41479,1
3211.24243,2605.27539,1
3211.851,2691.09863,1
3211.97363,2648.82227,1
3212.10229,5918.315,4
3212.27515,2710.44019,1
3212.434,2727.073,1
3212.671,2635.512,1
3212.78979,2629.5498,1
3213.20557,2533.44678,1
3213.21582,2703.936,1
3213.32861,2670.41455,1
3213.61987,2699.7937,1
3213.62085,2591.23145,1
3213.71338,2640.43042,1
3213.72632,2635.29785,1
3213.977,2571.103,1
3214.33667,2570.825,1
3214.46777,2565.99658,1
3214.60376,2582.86621,1
3215.09155,2496.69458,1
3215.42261,2537.93628,1
3215.7002,2719.937,1
3215.912,2586.367,1
3215.99878,2545.13037,1
3216.175,2663.99414,1
3216.267,2479.70776,1
3216.435,2648.92139,1
3216.68433,2555.8374,1
3216.77173,2682.23828,1
3216.83057,2720.9502,1
3216.846,2663.36841,1
3216.913,2537.69922,1
3217.124,2543.01514,1
3217.19751,2609.77441,1
3217.20679,2492.28418,1
3217.31519,2676.37915,1
3217.361,2571.34424,1
3217.37866,2730.677,1
3217.46338,2549.866,1
3217.55176,2615.64771,1
3218.06348,2499.81348,1
3218.15576,2751.76685,1
3218.658,2665.50464,1
3219.006,2667.467,1
3219.01563,2726.47583,1
3219.04761,2609.569,1
3219.1687,2474.24561,1
3219.289,2486.22021,1
